userName,score,content,reviewId,userImage,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
Eka Simamora## Channel,5,sangat bermanfaat dan bagus,,,,,,,,
Sasmito Alfa (Al),5,sudah ada peningkatan.. semenjak saya komplain di kantor pusat bagus kembangkan pelayanan yang baik,,,,,,,,
Tuti Asih,5,Puas dan happy bersama shopee,,,,,,,,
Zainal Arifin,5,produknya banyak harganya terjangkau,,,,,,,,
mas yanto,5,bagus,,,,,,,,
Doi Doi,5,mantap,,,,,,,,
anas krenz,5,okelah selama ini belanja di shopee,,,,,,,,
nhiaw w1,1,"SKRG SHOPEE SGT BURUK,, BENER² JELEK PELAYANAN NYA,, PERBAIKI DULU KWALITAS PENGIRIMAN LUUU, BARU LU BOLEH BLACKLIST JNT,, APAAN DAH SPX LELET NYA KAYAK SIPUT",,,,,,,,
Melki Kianus,1,"sy pesan atribut maxim bike dri tgl 7 April 2025,sampai skrng blm terkirim, padahal status pengiriman selesai,",,,,,,,,
Ayrani Tmk,5,"pengirimannya cepat, banyak voucher juga",,,,,,,,
Sar Mus,4,saya pernah dikecewakan oleh shopee. dn saya ingin mreka memperbaiki kinerjanya.,,,,,,,,
zubandi andi,5,ok,,,,,,,,
Fauzan Buchori,5,sekses selalu,,,,,,,,
Empud Mahpudin,5,"Shopee mantaff dgn free ongkir & cashback nya, tokonya juga kebanyakan amanah..⭐⭐⭐⭐⭐ Baik buruknya toko mempengaruhi kepercayaan terhadap aplikasi. terimakasih atas informasinya 🙏",,,,,,,,
Erho Bachir,3,"Maaf saya rubah ulasannya. Masih bingung kenapa toko belum Start itu banyak di hapus postingannya, padahal nama produk sama dgn yg di Toko Start hihihik",,,,,,,,
Uray Edy,5,belanja di shope aman cepat dan ramah plus murah tpi kualitas ngk murahan🥰🥰🥰,,,,,,,,
Muhammad Ridwan,5,mempermudah saya untuk mencari beberapa barang yang di perlukan.,,,,,,,,
Adess Lamongan,5,👍👍,,,,,,,,
Deemo Camp,5,platform beli terpercaya dan mudah,,,,,,,,
Kasmi Kasmi,5,mantapppp,,,,,,,,
Arifnur Zain,1,pengiriman spx lama lebih cepat J&T,,,,,,,,
Ruslan Effendi,5,unggul,,,,,,,,
Rezki Amalah,3,vocer gratis ongkir masih ada kok gak bisa dipake🙂,,,,,,,,
Hidayatul Mufa'ida,4,baik,,,,,,,,
Maria Kristiana,5,"Sangat membantu dlm pembelanjaan, apalagi sy yg bekerja",,,,,,,,
Teddy Al Wafi,5,keren banget,,,,,,,,
Ichaa Cantik,5,menyenangkan belanja di shopee,,,,,,,,
Santo Tpt,4,gapapa sih,,,,,,,,
Yusuf Permana,3,sangat mudah,,,,,,,,
kus nadi,5,Sangat membantu bagi yg suka belanja online. Tapi kadang-kadang suka berat browsing2 barang,,,,,,,,
Johan Kis,5,sangat bermanfaat,,,,,,,,
Muamar Rais,1,"Makin menjadi2 Spx nya, cuma berjarak 25 kman, sampai 4 baru sampai,, efek karna terlalu maruk ga bagi2 sama jnt lagi, pengantaran lelet banget,, klu ada jasa kirim jnt ga gua pke lagi ni Spx 😤😤",,,,,,,,
Rendi Setiawan,1,"paket saya ngangkut dari tanggal 8 sampe sekarang belu sampe kealamat tujuan,saya juga butuh uang saya gatau ini paket aman apa ngga udah 2 minghu lebih ,kecewa banget sama shopee yg gua kira aman,dan cepat malah bikin orang kesusahan ,kalo gabisa kirim barang cpet tolong kembalikan uang saya atau hp saya,tolong tanggumg jawabnya",,,,,,,,
Sindi,5,knpa gx bisa cod pdhl ga pernah g di ambil nyah paket ku . tiba2 d noaktiv kan cod nyah kecewa ah padhl pelanggan setia shope .. 😪,,,,,,,,
Lia Walikukun,5,bisa shopping disini kalo mager keluar hehe 😁,,,,,,,,
Saiful Bahrie,5,mantap..shope terbaik,,,,,,,,
Yasmin KA,5,"Sangat membantu berbelanja online, terlebih dengan banyaknya pilihan dengan Ongkir yg terjangkau❤❤❤",,,,,,,,
Watulangkah,4,Top banget pokoknya,,,,,,,,
Ibram Bkn,5,bagus skali,,,,,,,,
Annisa Ramli,1,NUNGGU SHOPEEFOOD 2 JAM TAPI TIDAK ADA KOMPENSASI APAPUN!!!!,,,,,,,,
Arni Manurung,5,okelah.,,,,,,,,
Hayat Jadida,1,"seller adalah raja jika di sini, 10 kali belanja 3 kali tertipu",,,,,,,,
Suharmani Harmani,5,Pengiriman cepat dan sesuai Deskripsi trims,,,,,,,,
Miftah Udin,2,Sekarang sangat lambat🥴,,,,,,,,
